Region,Country,City,YearMonth,MonthlyAvgTemp
Africa,Ivory Coast,Abidjan,1995-01,79.92
Africa,Ivory Coast,Abidjan,1995-02,82.61
Africa,Ivory Coast,Abidjan,1995-03,82.55
Africa,Ivory Coast,Abidjan,1995-04,83.32
Africa,Ivory Coast,Abidjan,1995-05,82.4
Africa,Ivory Coast,Abidjan,1995-06,80.8
Africa,Ivory Coast,Abidjan,1995-07,78.5
Africa,Ivory Coast,Abidjan,1995-08,77.53
Africa,Ivory Coast,Abidjan,1995-09,77.26
Africa,Ivory Coast,Abidjan,1995-10,79.24
Africa,Ivory Coast,Abidjan,1995-11,81.85
Africa,Ivory Coast,Abidjan,1995-12,81.08
Africa,Ivory Coast,Abidjan,1996-01,80.75
Africa,Ivory Coast,Abidjan,1996-02,81.29
Africa,Ivory Coast,Abidjan,1996-03,82.6
Africa,Ivory Coast,Abidjan,1996-04,83.42
Africa,Ivory Coast,Abidjan,1996-05,83.08
Africa,Ivory Coast,Abidjan,1996-06,80.62
Africa,Ivory Coast,Abidjan,1996-07,78.46
Africa,Ivory Coast,Abidjan,1996-08,77.25
Africa,Ivory Coast,Abidjan,1996-09,76.97
Africa,Ivory Coast,Abidjan,1996-10,79.06
Africa,Ivory Coast,Abidjan,1996-11,81.7
Africa,Ivory Coast,Abidjan,1996-12,80.74
Africa,Ivory Coast,Abidjan,1997-01,80.48
Africa,Ivory Coast,Abidjan,1997-02,82.1
Africa,Ivory Coast,Abidjan,1997-03,82.78
Africa,Ivory Coast,Abidjan,1997-04,81.21
Africa,Ivory Coast,Abidjan,1997-05,81.22
Africa,Ivory Coast,Abidjan,1997-06,79.04
Africa,Ivory Coast,Abidjan,1997-07,77.32
Africa,Ivory Coast,Abidjan,1997-08,76.02
Africa,Ivory Coast,Abidjan,1997-09,78.07
Africa,Ivory Coast,Abidjan,1997-10,81.31
Africa,Ivory Coast,Abidjan,1997-11,82.58
Africa,Ivory Coast,Abidjan,1997-12,81.77
Africa,Ivory Coast,Abidjan,1998-01,81.15
Africa,Ivory Coast,Abidjan,1998-02,84.23
Africa,Ivory Coast,Abidjan,1998-03,85.23
Africa,Ivory Coast,Abidjan,1998-04,84.86
Africa,Ivory Coast,Abidjan,1998-05,83.03
Africa,Ivory Coast,Abidjan,1998-06,80.59
Africa,Ivory Coast,Abidjan,1998-07,77.99
Africa,Ivory Coast,Abidjan,1998-08,75.96
Africa,Ivory Coast,Abidjan,1998-09,77.45
Africa,Ivory Coast,Abidjan,1998-10,80.46
Africa,Ivory Coast,Abidjan,1998-11,81.66
Africa,Ivory Coast,Abidjan,1998-12,81.04
Africa,Ivory Coast,Abidjan,1999-01,81.29
Africa,Ivory Coast,Abidjan,1999-02,80.84
Africa,Ivory Coast,Abidjan,1999-03,82.21
Africa,Ivory Coast,Abidjan,1999-04,82.68
Africa,Ivory Coast,Abidjan,1999-05,82.29
Africa,Ivory Coast,Abidjan,1999-06,80.93
Africa,Ivory Coast,Abidjan,1999-07,79.17
Africa,Ivory Coast,Abidjan,1999-08,76.98
Africa,Ivory Coast,Abidjan,1999-09,77.02
Africa,Ivory Coast,Abidjan,1999-10,78.53
Africa,Ivory Coast,Abidjan,1999-11,82.14
Africa,Ivory Coast,Abidjan,1999-12,81.59
Africa,Ivory Coast,Abidjan,2000-01,80.46
Africa,Ivory Coast,Abidjan,2000-02,80.49
Africa,Ivory Coast,Abidjan,2000-03,83.25
Africa,Ivory Coast,Abidjan,2000-04,82.5
Africa,Ivory Coast,Abidjan,2000-05,81.71
Africa,Ivory Coast,Abidjan,2000-06,79.72
Africa,Ivory Coast,Abidjan,2000-07,77.26
Africa,Ivory Coast,Abidjan,2000-08,76.06
Africa,Ivory Coast,Abidjan,2000-09,75.99
Africa,Ivory Coast,Abidjan,2000-10,78.74
Africa,Ivory Coast,Abidjan,2000-11,81.84
Africa,Ivory Coast,Abidjan,2000-12,80.76
Africa,Ivory Coast,Abidjan,2001-01,80.35
Africa,Ivory Coast,Abidjan,2001-02,82.05
Africa,Ivory Coast,Abidjan,2001-03,83.66
Africa,Ivory Coast,Abidjan,2001-04,82.36
Africa,Ivory Coast,Abidjan,2001-05,81.9
Africa,Ivory Coast,Abidjan,2001-06,79.23
Africa,Ivory Coast,Abidjan,2001-07,76.69
Africa,Ivory Coast,Abidjan,2001-08,75.1
Africa,Ivory Coast,Abidjan,2001-09,75.81
Africa,Ivory Coast,Abidjan,2001-10,79.34
Africa,Ivory Coast,Abidjan,2001-11,81.47
Africa,Ivory Coast,Abidjan,2001-12,81.71
Africa,Ivory Coast,Abidjan,2002-01,80.3
Africa,Ivory Coast,Abidjan,2002-02,82.41
Africa,Ivory Coast,Abidjan,2002-03,82.07
Africa,Ivory Coast,Abidjan,2002-04,82.53
Africa,Ivory Coast,Abidjan,2002-05,82.0
Africa,Ivory Coast,Abidjan,2002-06,80.21
Africa,Ivory Coast,Abidjan,2002-07,76.75
Africa,Ivory Coast,Abidjan,2002-08,76.19
Africa,Ivory Coast,Abidjan,2002-09,76.95
Africa,Ivory Coast,Abidjan,2002-10,79.32
Africa,Ivory Coast,Abidjan,2002-11,81.55
Africa,Ivory Coast,Abidjan,2002-12,82.08
Africa,Ivory Coast,Abidjan,2003-01,82.07
Africa,Ivory Coast,Abidjan,2003-02,86.97
Africa,Ivory Coast,Abidjan,2003-03,82.42
Africa,Ivory Coast,Abidjan,2003-04,83.12
Africa,Ivory Coast,Abidjan,2003-05,82.8
Africa,Ivory Coast,Abidjan,2003-06,78.8
Africa,Ivory Coast,Abidjan,2003-07,77.66
Africa,Ivory Coast,Abidjan,2003-08,76.21
Africa,Ivory Coast,Abidjan,2003-09,77.87
Africa,Ivory Coast,Abidjan,2003-10,80.75
Africa,Ivory Coast,Abidjan,2003-11,81.88
Africa,Ivory Coast,Abidjan,2003-12,81.26
Africa,Ivory Coast,Abidjan,2004-01,81.81
Africa,Ivory Coast,Abidjan,2004-02,82.64
Africa,Ivory Coast,Abidjan,2004-03,83.75
Africa,Ivory Coast,Abidjan,2004-04,82.44
Africa,Ivory Coast,Abidjan,2004-05,81.35
Africa,Ivory Coast,Abidjan,2004-06,78.5
Africa,Ivory Coast,Abidjan,2004-07,76.92
Africa,Ivory Coast,Abidjan,2004-08,76.07
Africa,Ivory Coast,Abidjan,2004-09,78.53
Africa,Ivory Coast,Abidjan,2004-10,80.39
Africa,Ivory Coast,Abidjan,2004-11,81.51
Africa,Ivory Coast,Abidjan,2004-12,84.07
Africa,Ivory Coast,Abidjan,2005-01,81.31
Africa,Ivory Coast,Abidjan,2005-02,85.5
Africa,Ivory Coast,Abidjan,2005-03,84.56
Africa,Ivory Coast,Abidjan,2005-04,83.45
Africa,Ivory Coast,Abidjan,2005-05,81.38
Africa,Ivory Coast,Abidjan,2005-06,78.51
Africa,Ivory Coast,Abidjan,2005-07,76.94
Africa,Ivory Coast,Abidjan,2005-08,75.35
Africa,Ivory Coast,Abidjan,2005-09,77.78
Africa,Ivory Coast,Abidjan,2005-10,80.16
Africa,Ivory Coast,Abidjan,2005-11,81.27
Africa,Ivory Coast,Abidjan,2005-12,81.0
Africa,Ivory Coast,Abidjan,2006-01,79.2
Africa,Ivory Coast,Abidjan,2006-02,80.08
Africa,Ivory Coast,Abidjan,2006-03,82.2
Africa,Ivory Coast,Abidjan,2006-04,82.47
Africa,Ivory Coast,Abidjan,2006-05,78.77
Africa,Ivory Coast,Abidjan,2006-06,74.67
Africa,Ivory Coast,Abidjan,2006-07,72.53
Africa,Ivory Coast,Abidjan,2006-08,77.54
Africa,Ivory Coast,Abidjan,2006-09,76.92
Africa,Ivory Coast,Abidjan,2006-10,79.25
Africa,Ivory Coast,Abidjan,2006-11,79.71
Africa,Ivory Coast,Abidjan,2006-12,81.22
Africa,Ivory Coast,Abidjan,2007-01,79.24
Africa,Ivory Coast,Abidjan,2007-02,82.26
Africa,Ivory Coast,Abidjan,2007-03,82.0
Africa,Ivory Coast,Abidjan,2007-04,82.28
Africa,Ivory Coast,Abidjan,2007-05,80.78
Africa,Ivory Coast,Abidjan,2007-06,77.31
Africa,Ivory Coast,Abidjan,2007-07,77.9
Africa,Ivory Coast,Abidjan,2007-08,73.9
Africa,Ivory Coast,Abidjan,2007-09,61.55
Africa,Ivory Coast,Abidjan,2007-10,76.67
Africa,Ivory Coast,Abidjan,2007-11,76.97
Africa,Ivory Coast,Abidjan,2007-12,76.27
Africa,Ivory Coast,Abidjan,2008-01,78.07
Africa,Ivory Coast,Abidjan,2008-02,82.35
Africa,Ivory Coast,Abidjan,2008-03,79.18
Africa,Ivory Coast,Abidjan,2008-04,81.16
Africa,Ivory Coast,Abidjan,2008-05,80.66
Africa,Ivory Coast,Abidjan,2008-06,78.7
Africa,Ivory Coast,Abidjan,2008-07,78.68
Africa,Ivory Coast,Abidjan,2008-08,77.26
